Timestamp,Persetujuan Responden,Seberapa besar waktu respon admin memengaruhi keputusan Anda untuk mengajukan komplain?,Seberapa besar kejelasan status penyelesaian masalah memengaruhi kepuasan Anda terhadap layanan logistik? ,Seberapa besar keterlambatan penyelesaian tiket layanan memengaruhi keinginan Anda untuk komplain?,Seberapa besar kesalahan informasi dari customer service memengaruhi kepercayaan Anda terhadap layanan logistik?,Seberapa besar kualitas komunikasi admin memengaruhi kepuasan Anda sebagai pelanggan? ,Seberapa besar pengalaman buruk sebelumnya memengaruhi kemungkinan Anda mengajukan komplain kembali? ,Seberapa penting kecepatan penyelesaian masalah dalam menjaga loyalitas Anda terhadap layanan logistik?,"Menurut Anda, faktor utama apa yang paling sering membuat pelanggan mengajukan komplain terhadap layanan logistik? ",Apa yang sebaiknya dilakukan perusahaan logistik untuk mengurangi komplain pelanggan?
6/6/2026 16:34:38,Saya menyatakan bersedia menjadi responden dalam penelitian ini.,5,5,5,5,4,4,5,Kecepatan pengiriman dan kondisi barang saat diterima. Pelanggan biasanya lebih puas jika barang datang tepat waktu dan tidak rusak.,"Perusahaan perlu meningkatkan kecepatan pengiriman, memberikan informasi tracking yang lebih akurat, dan mempercepat respons customer service ketika terjadi masalah."
6/6/2026 16:39:40,Saya menyatakan bersedia menjadi responden dalam penelitian ini.,5,4,5,5,4,5,5,"Keterlambatan pengiriman, informasi yang kurang jelas, dan respons customer service yang lambat.","Meningkatkan kecepatan layanan, memberikan informasi yang akurat, dan mempercepat penanganan keluhan pelanggan."
6/6/2026 16:43:50,Saya menyatakan bersedia menjadi responden dalam penelitian ini.,4,5,4,5,4,4,5,Kurangnya informasi mengenai status pengiriman dan keterlambatan paket yang tidak disertai penjelasan yang jelas.,Memberikan informasi yang lebih transparan mengenai proses pengiriman serta meningkatkan respons customer service terhadap pertanyaan pelanggan.
6/6/2026 16:46:18,Saya menyatakan bersedia menjadi responden dalam penelitian ini.,4,5,4,4,5,4,5,Keterlambatan pengiriman dan kurangnya informasi yang jelas mengenai posisi paket selama proses pengiriman.,"Perusahaan perlu meningkatkan kualitas layanan pelanggan, memperbarui informasi pelacakan secara berkala, dan menangani keluhan dengan lebih cepat."
6/6/2026 16:58:43,Saya menyatakan bersedia menjadi responden dalam penelitian ini.,5,5,5,5,5,5,5,Keterlambatan pengiriman dan pelayanan pelanggan,Memperbaiki kualitas dan menjaga keamanan barak
6/6/2026 18:03:26,Saya menyatakan bersedia menjadi responden dalam penelitian ini.,4,4,4,4,3,4,5,Pengiriman yang tidak sesuai estimasi,Memberikan informasi yang lebih jelas kepada pelanggan 
6/6/2026 18:03:41,Saya menyatakan bersedia menjadi responden dalam penelitian ini.,5,5,4,3,3,4,4,menurut saya faktor utama kurang layanan yg baik ,layanan perlu diperbaikan
6/6/2026 18:09:24,Saya menyatakan bersedia menjadi responden dalam penelitian ini.,5,5,4,5,5,4,5,Respons yang lambat,mempercepat penanganan keluhan
6/6/2026 18:17:12,Saya menyatakan bersedia menjadi responden dalam penelitian ini.,4,4,4,4,3,4,5,kurangnya informasi mengenai status paket.,memperbarui informasi pelacakan secara berkala
6/6/2026 18:21:09,Saya menyatakan bersedia menjadi responden dalam penelitian ini.,5,4,4,4,5,4,5,paket salah alamat,memastikan barang dikirim dengan aman
6/6/2026 18:29:50,Saya menyatakan bersedia menjadi responden dalam penelitian ini.,4,4,4,4,4,3,4,Cara berbicara,Sopan
6/6/2026 18:34:12,Saya menyatakan bersedia menjadi responden dalam penelitian ini.,5,4,5,5,5,4,5,Krna tidak bekerja dengan hati hati,Bekerja dengan hati hati dalam pekerjaan agar pelanggan tidak banyak komplain 
6/6/2026 18:53:48,Saya menyatakan bersedia menjadi responden dalam penelitian ini.,5,5,4,5,5,5,4,"Menurut saya, faktor utama yang paling sering membuat pelanggan mengajukan komplain terhadap layanan logistik adalah keterlambatan pengiriman.","Meningkatkan ketepatan waktu pengiriman
Perusahaan perlu mengatur distribusi dan rute pengiriman dengan baik agar paket sampai sesuai estimasi."
6/6/2026 19:11:42,Saya menyatakan bersedia menjadi responden dalam penelitian ini.,3,5,5,5,4,3,5,"Keterlambatan pengiriman akibat perencanaan rute yang kurang optimal dan hambatan operasional di lapangan, karena ketepatan waktu adalah ekspektasi utama pelanggan.",Melakukan digitalisasi sistem pelacakan dan memberikan notifikasi proaktif jika terjadi keterlambatan pengiriman
6/6/2026 19:21:34,Saya menyatakan bersedia menjadi responden dalam penelitian ini.,4,4,4,3,5,4,4,"keterlambatan pengiriman, kerusakan barang, kurangnya transparansi, layanan pelanggan yg buruk","meningkatkan akurasi pengiriman, menjamin keamanan barang, tracking"
6/6/2026 19:31:41,Saya menyatakan bersedia menjadi responden dalam penelitian ini.,3,4,3,4,5,2,2,pelayanan yang cukup lama,di perbaiki dengan baik dan pelajari hal hal yang dulu kurang baik
6/6/2026 19:37:51,Saya menyatakan bersedia menjadi responden dalam penelitian ini.,4,5,4,4,5,3,5,Kualitas berkomunikasi menentukan kepuasan pelanggan terhadap layanan logistik,Informasi yg tepat; respon yg cepat; dan kualitas berkomunikasi agar semakin ditingkatkan
6/6/2026 19:39:08,Saya menyatakan bersedia menjadi responden dalam penelitian ini.,5,5,5,5,4,4,5,"keterlambatan barang,kerusakan barang,kurangnya tranparansi.","mengoptimalkan rute dan jadwal,Peningkatan SOP dan sistem pelacakan Real time."
6/6/2026 20:03:42,Saya menyatakan bersedia menjadi responden dalam penelitian ini.,3,3,2,3,4,2,3,Layanan kurang cepat,Selalu tepat waktu mengirim pesanan yang sudah di tentukan
6/6/2026 20:21:42,Saya menyatakan bersedia menjadi responden dalam penelitian ini.,5,5,5,5,5,5,5,"keterlambatan pengiriman, barang rusak atau hilang, dan kurangnya transparansi informasi pelacakan (tracking).","fokus pada transparansi pelacakan, komunikasi proaktif, dan akurasi estimasi waktu."
6/6/2026 23:50:15,Saya menyatakan bersedia menjadi responden dalam penelitian ini.,1,1,4,5,4,3,5,Faktor utama pelanggan yg membuat mengajukan komplain terhadap layanan logistik adalah keterlambatan pengiriman barang kepada pelanggan dan kwalitas barang dalam kondisi rusak,Yang dilakukan perusahaan logistik Untuk mengurangi komplain pelanggan adalah menjaga kwalitas barang dan pengiriman barang dengan tepat waktu
6/7/2026 0:01:30,Saya menyatakan bersedia menjadi responden dalam penelitian ini.,1,3,5,5,3,5,5,Faktor utama yg paling sering membuat pelanggan mengajukan komplain terhadap pelayanan logistik adalah pesanan barang Tidak sesuai dengan pesanan,Yang dilakukan perusahaan logistik utk mengurangi komplain pelanggan adalah menjaga kwalitas barang tetap dalam keadaan baik dan waktu pengiriman barang sesuai dengan waktu yang telah ditentukan
6/7/2026 0:07:34,Saya menyatakan bersedia menjadi responden dalam penelitian ini.,1,3,5,5,4,4,4,Faktor utama yg sering membuat pelanggan mengajukan komplain terhadap layanan logistik adalah kwalitas  pesanan barang tidak sesuai dengan barang yang dipesan ,Yang dilakukan perusahaan logistik utk mengurangi komplain pelanggan adalah menjaga kondisi barang tetap dalam kondisi baik dan pengirimannya harus tepat waktu
6/7/2026 12:43:39,Saya menyatakan bersedia menjadi responden dalam penelitian ini.,5,5,5,5,5,5,5,"Ada beberapa faktor / penyebab pelanggan mengajukan komplain terhadap layanan logistik, contohnya keterlambatan pengiriman. Barang yang telah dipesan dan telah mendapatkan estimasi lamanya waktu pengiriman di awal, ternyata pada kenyataannya barang datang lebih lambat dari estimasi awal tersebut. Biasanya juga keterlambatan tersebut tidak memberikan konfirmasi pada pelanggan, yang mengakibatkan pelanggan akan mengajukan komplain terhadap hal tersebut. ","Sebaiknya Perusahaan meningkatkan ketepatan waktu pengiriman, terhadap layanan logistik yang tersedia. Perusahaan harus lebih mengoptimalkan perencanaan rute dan jadwal distribusi, dan jika bisa sudah menerapkan sistem manajemen transportasi (TMS). 
Dan jika ada kendala dalam pengiriman karena keterlambatan, sebaiknya pihak perusahaan memberikan informasi kepada pelanggan agar menanggulangi kekecewaan dan komplain dari pelanggan "
